id,text
984659761084821504,RT @MW_Unrest: Shout out to the folks in #Flint who blockaded I-69 today after the Michigan state government announced they will no longer‚Ä¶
984659646844616704,RT @mercola: Watch: This video explains why you should avoid airplane tap water at all costs. https://t.co/kGvtmECUMU
984659582248275969,"Brain-damaging lead found in tap water in hundreds of homes tested across Chicago.
Hey  @chicagosmayor what are you‚Ä¶ https://t.co/RpjabqjHGY"
984659256665354240,@Carwyn_Hoffi Even on hotels that usually have tanks instead of running from the source tap water?
984659215426969605,@ramsmahat Shall be thanking all related and concerned once first drop of water starts falling from tap in our house!!!
984658741768392704,"RT @CNN: Toxic lead was found in hundreds of Chicago homes' tap water within the past two years, according to a Chicago Tribune analysis of‚Ä¶"
984658418748264448,"Lead found in hundreds of Chicago homes' tap water, report says https://t.co/xP7pdo7kgr"
984657703774707714,RT @Whoneedsacape: #ad Please watch this message!  @BritaUSA is helping reduce the number of plastic water bottles used by placing Brita Hy‚Ä¶
984657648900608000,"Brain-damaging lead found in tap water in Chicago
 https://t.co/8s5IIOLCk6"
984657634874847233,"RT @dubstep4dads: waiter: we only have tap water, is that okay?

me: listen i wouldn't even care if you shot me with a gun"
984657413927141377,"RT @SimplySweetDays: #ad Our kids have water bottles for school because it's cheap, but I never thought of the environmental impact of refi‚Ä¶"
984657175896260608,There's a particularly annoying @Colgate ad about wasting water. It claims if u leave the tap running u can lose up‚Ä¶ https://t.co/4SMJVIBSSe
984657133617729536,"RT @jsmithrichards: More than 2,000 Chicagoans got lead-testing kids from the city to check their tap water at home. Lead was found in near‚Ä¶"
984656475480997889,how do i explain to my roommate that no she can't have one of my la croixs because they're one of the few things th‚Ä¶ https://t.co/gzRGgulKYQ
984656443738488833,"RT @GeorgeEdwardCa4: @intheMatrixxx @Ridge2100 @POTUS I know the truth about only a few things and yet sleep is almost impossible

Benghazi‚Ä¶"
984656065647333376,Dating a short girl is fun until you want to kiss her and it feels as if you're drinking water from a tap.
984655976107298817,"RT @clc3099: @MsPackyetti @MollyJongFast And yet @EPAScottPruitt stole $84,895 from the Clean Water Act to give his crony friends Millan Hu‚Ä¶"
984655551060725760,RT @NOTjennbachman: ‚ÄúThat tastes like spicy tap water‚Äù - David taking his first green tea shot
984655334101999616,"I had to drink tap water today, I almost died at the thought. #1stworldproblems"
984654614871072768,"Lead found in hundreds of Chicago homes' tap water, report says https://t.co/lf0dTE9MJE"
984654512446164992,RT @JonRaff: They expected me to drink plain project tap water? Ì†ΩÌ∏í Man dem moving like Moby... https://t.co/XJy1LZ0lLn
984654471761346560,"I just cut back the hedge, opened the cover to the water toby, put my hand into that spider infested hellhole and t‚Ä¶ https://t.co/M263WwqXHB"
984654437200183296,I can't believe I have to wake up at 9:30 on my day off because my fucking hot water tap needs to be fixed. It's a‚Ä¶ https://t.co/81eOsvmdAz
984654373543399424,"@North2North @JakeLake720 Um, unless you're using bottled water, your coffee is made with tap water."
984653588352917504,‚ÄúThat tastes like spicy tap water‚Äù - David taking his first green tea shot
984653296290983936,"Toxic lead was found in tap water drawn from nearly 70% of 2,797 homes across Chicago within the past two years, ac‚Ä¶ https://t.co/izBCliY7BQ"
984652998608605184,RT @hofman22: @TimmermansEU @EU_Commission @KarmenuVella @GOettingerEU @jyrkikatainen @EBienkowskaEU @Europarl_EN @EUCouncil @EUinNL @PES_P‚Ä¶
984652810515034112,RT @chicagotribune: 4/ Chicago residents interested in having their tap water tested for lead can order a free testing kit from the city at‚Ä¶
984652302328807424,Tell me why I'm at Carl's junior and these white girls are complaining about tap water. Be grateful the fuck
984651614383493121,"RT @SCDadvocate: FYI - Flint Michigan is still without clean tap water and now, as of 6pm today, all water PODS are officially closed.  The‚Ä¶"
984651294018342912,"RT @SouthportCor: Brain-damaging lead found in tap water in hundreds of homes tested across Chicago, results show https://t.co/mgCdJdAtHa"
984651086542680064,RT @xChaai: ur mcm the kinda bloke to say he drinks Fiji water every day but he's just been refilling the bottle with tap water for the pas‚Ä¶
984650632480030720,"i tried to get a glass of water from the tap and had i not looked at it before drinking, i would have full on swall‚Ä¶ https://t.co/rwqv5nT7Yc"
984650044820414465,"RT @AnarchiMedia: Brain-damaging lead found in tap water in hundreds of homes tested across Chicago, results show https://t.co/JPJaQUoVro"
984649851345530880,RT @KyyyleC18: am i boujee bc i won't drink tap water
984649353515200512,"RT @saadcoreshi: #Water
It is interesting and thought provoking Ì†æÌ¥îÌ†ΩÌ∏≥

Title: #Water
Grand father saw it in #River
Father saw it in #Well
We s‚Ä¶"
984649252474425350,RT @heavyseas: Brain-damaging lead found in tap water in hundreds of homes tested across #Chicago - but @chicagosmayor has done nothing to‚Ä¶
984648902577131521,"TRUST was turning on tap, holding out hands, closing eyes,&amp; washing face. NOT ANYMORE, cos the water is sometimes a‚Ä¶ https://t.co/lu4flDWLq6"
984648202891784192,"#Water
It is interesting and thought provoking Ì†æÌ¥îÌ†ΩÌ∏≥

Title: #Water
Grand father saw it in #River
Father saw it in‚Ä¶ https://t.co/q5652A5k1K"
984647918618636288,"RT @SAW_30: Brain-damaging lead found in tap water in hundreds of homes tested across Chicago, results show https://t.co/A81wAoF7Vv"
